Date,Open,High,Low,Close,MA20,MA50,RSI14,TR,ATR14,decision,rule,reason
2024-08-30,2521.36,2526.94,2494.43,2502.54,2474.44275,,49.68393323469894,32.51000000000022,33.5264788275821,WAIT,Init,Insufficient history for indicators
2024-09-02,2502.97,2507.36,2490.38,2499.54,2478.8990000000003,,48.95118956643378,16.980000000000018,32.34458748275481,WAIT,Init,Insufficient history for indicators
2024-09-03,2499.67,2506.35,2473.78,2492.96,2484.011,,47.303341204234655,32.56999999999971,32.36068837684373,WAIT,Init,Insufficient history for indicators
2024-09-04,2493.04,2500.02,2471.97,2495.65,2489.65125,,48.072930255201285,28.050000000000182,32.05278206421205,WAIT,Init,Insufficient history for indicators
2024-09-05,2495.54,2523.47,2493.92,2516.76,2494.1142499999996,,53.77781539452924,29.549999999999727,31.874011916768318,WAIT,Init,Insufficient history for indicators
2024-09-06,2516.835,2529.15,2485.33,2495.95,2497.4577500000005,,48.160687676141194,43.820000000000164,32.72729677985631,WAIT,Init,Insufficient history for indicators
2024-09-09,2496.73,2507.22,2485.71,2506.22,2499.12875,,50.88708948589747,21.509999999999764,31.926061295580844,WAIT,Init,Insufficient history for indicators
2024-09-10,2506.63,2518.37,2500.26,2516.65,2501.7055,,53.55846966863768,18.109999999999673,30.9391997744679,WAIT,Init,Insufficient history for indicators
2024-09-11,2516.725,2528.63,2501.14,2511.52,2504.88125,,52.058610977037226,27.490000000000236,30.692828362005926,WAIT,Init,Insufficient history for indicators
2024-09-12,2512.22,2560.08,2511.12,2558.795,2509.98175,,62.484850955362546,48.960000000000036,31.99762633614836,WAIT,Init,Insufficient history for indicators
2024-09-13,2558.725,2586.105,2556.765,2582.845,2513.71725,,66.47881945796276,29.340000000000146,31.80779588356635,WAIT,Init,Insufficient history for indicators
2024-09-16,2578.7,2589.6,2575.51,2582.51,2517.6312500000004,,66.37282024498913,14.08999999999969,30.542239034740163,WAIT,Init,Insufficient history for indicators
2024-09-17,2582.44,2586.92,2560.86,2569.59,2520.412,,62.25029658292133,26.059999999999945,30.222079103687292,WAIT,Init,Insufficient history for indicators
2024-09-18,2569.435,2600.105,2547.165,2559.005,2522.74125,,59.01617053039582,52.940000000000055,31.844787739138205,WAIT,Init,Insufficient history for indicators
2024-09-19,2558.685,2594.73,2551.495,2586.77,2527.83975,,64.26118999769514,43.23500000000013,32.65837432919977,WAIT,Init,Insufficient history for indicators
2024-09-20,2586.87,2625.77,2585.1,2621.17,2533.35125,,69.47377466780952,40.67000000000007,33.23063330568551,WAIT,Init,Insufficient history for indicators
2024-09-23,2621.09,2634.815,2613.995,2628.545,2538.8759999999997,,70.46824217683996,20.820000000000164,32.344159498136555,WAIT,Init,Insufficient history for indicators
2024-09-24,2628.585,2664.395,2622.875,2657.145,2545.5037500000003,,74.00493321722487,41.51999999999998,32.99957667684109,WAIT,Init,Insufficient history for indicators
2024-09-25,2657.15,2670.55,2650.24,2657.17,2553.1255,,74.00786349277914,20.3100000000004,32.09317834278104,WAIT,Init,Insufficient history for indicators
2024-09-26,2657.155,2685.39,2655.17,2672.45,2560.68925,,75.80319086452766,30.2199999999998,31.959379889725234,WAIT,Init,Insufficient history for indicators
2024-09-27,2672.34,2674.3,2643.19,2652.05,2568.16475,,68.95524274757676,31.110000000000127,31.898709897602014,WAIT,Init,Insufficient history for indicators
2024-09-30,2658.825,2666.035,2625.255,2634.735,2574.9245,,63.69556451048198,40.779999999999745,32.533087762059,WAIT,Init,Insufficient history for indicators
2024-10-01,2634.53,2672.775,2632.465,2663.435,2583.44825,,68.04625099690948,40.309999999999945,33.08858149334049,WAIT,Init,Insufficient history for indicators
